9/30/2024	11:53:04 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:53:20 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:53:28 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:53:36 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:55:03 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:55:56 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:56:01 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:56:07 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:56:12 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

9/30/2024	11:56:18 PM	-->	__unknown__	POST 	GUEST     		Line: 0	Unable to resolve service for type 'FluentValidation.IValidator`1[WebApi.DTOs.RegisterByGuestDto]' while attempting to activate 'WebApi.Controllers.AuthController'.

